,total_amount
535534,2.99
327250,2.0
702547,0.79
231609,1.5
693589,0.85
404691,1.99
96168,0.99
83505,0.99
161914,2.99
24427,0.69
815875,3.3
488278,2.69
82366,0.99
695314,1.19
752316,3.38
278577,1.33
207408,2.19
499902,1.39
418694,1.99
760300,0.67
574796,1.5
540658,0.95
678413,0.79
578197,1.5
714134,0.95
496042,1.19
470251,3.58
162517,3.19
500564,1.89
659716,0.67
332012,2.5
674239,0.79
150935,2.19
125327,1.09
673550,1.99
47205,0.8
693439,3.4
242358,0.99
376296,1.5
89612,1.29
541491,0.99
481454,0.79
731019,1.19
592953,1.09
585660,1.5
181994,1.5
352037,1.79
301284,1.99
9371,2.0
671082,2.29
803035,0.78
186387,1.39
167523,2.59
382947,2.99
169538,2.99
79599,0.99
693407,1.09
745160,0.79
522325,1.18
592316,1.25
393545,1.5
675322,0.79
325012,2.0
132590,0.99
393897,1.5
445490,0.99
699439,0.99
356734,3.49
332761,2.69
631806,3.49
76196,2.15
562045,0.99
724802,0.75
70193,2.19
96029,0.99
162053,3.19
356094,3.49
817637,2.69
447351,0.86
755557,1.99
51237,0.85
736548,1.59
549034,3.79
205208,1.67
792732,0.89
73993,2.49
624132,0.99
403126,2.5
288077,0.99
359126,3.49
315469,2.99
741983,1.59
330046,2.89
243060,1.5
488761,2.0
641148,0.45
374915,2.28
238316,1.5
659302,1.34
40180,0.84
602062,1.09
429956,2.89
597288,1.09
470923,1.99
79188,0.89
714661,0.79
102338,0.99
715454,0.95
794996,0.88
347527,2.5
656075,0.69
43709,1.25
102566,0.99
703351,0.75
258623,2.69
438924,1.99
387085,1.49
588994,2.0
222251,3.35
369748,2.99
189352,0.99
157323,3.19
360106,2.29
450052,0.99
516165,0.99
695594,0.67
16711,0.34
33082,1.68
466331,1.69
589105,2.79
420490,1.99
25755,0.75
654151,0.79
352207,1.69
285270,0.99
454601,0.8
79506,0.99
717303,0.88
524968,0.79
188248,1.59
267760,1.79
512647,1.19
123016,0.99
611034,2.5
102960,0.99
577901,1.5
643332,0.45
341166,2.89
558523,1.5
35888,1.25
331821,2.5
764656,0.67
508487,0.59
783789,0.88
364921,1.99
647683,0.45
239567,2.19
68548,2.25
90693,0.99
296153,2.19
285257,0.99
544320,1.19
677044,0.69
112565,1.09
83689,0.99
593026,1.09
419614,1.5
781531,0.99
652673,0.69
106804,0.59
234753,0.99
414789,2.19
220380,1.33
760306,0.67
69239,2.09
587960,2.0
149213,2.19
739124,1.39
117297,0.54
114729,2.18
367661,2.99
494860,1.19
90367,0.99
116627,0.89
405908,1.99
177709,1.68
223775,1.5
772630,0.69
77626,1.98
481262,0.89
453681,0.99
760082,0.85
281718,1.99
138962,1.89
616312,0.95
539918,1.69
572347,1.19
659689,0.67
441129,2.55
594428,2.5
574252,1.5
679717,0.67
207495,2.19
181390,0.49
206538,1.5
527462,0.8
259039,2.69
709008,0.88
203817,1.19
116248,1.09
103533,0.99
375275,1.99
779680,0.79
421385,2.49
416267,0.99
718150,0.88
150569,2.19
607150,1.59
612070,2.59
519962,3.57
47492,1.19
309136,2.99
38916,0.84
145496,2.19
164306,3.49
533541,1.19
460650,1.13
281401,1.5
514276,0.99
365349,1.99
363905,1.79
466749,1.27
395096,2.49
225722,2.9699999999999998
391680,2.15
574929,1.79
425033,2.99
753067,1.99
571906,1.19
138301,1.89
632709,3.49
109854,0.0
24299,0.69
562536,1.0
505959,1.19
295118,1.99
291282,1.5
541125,0.79
377640,1.5
81424,1.39
500740,1.89
361839,2.39
577636,3.0
519564,0.8
742781,1.59
124469,1.19
300428,3.35
816559,1.29
551330,1.88
2814,2.0
590381,2.39
341280,2.69
50924,1.79
510477,0.99
139282,1.89
122922,0.99
306978,2.49
784616,1.19
342223,2.5
33354,1.25
203074,0.99
612416,2.59
745035,0.89
343899,2.5
224762,0.99
779182,0.79
356286,2.94
637316,0.45
171297,3.19
105724,0.59
14016,0.5
351906,1.89
367147,1.59
680213,0.67
59481,3.59
101637,0.99
616041,0.95
546154,2.5
659128,0.67
314067,2.79
621869,0.79
345319,2.69
549924,1.34
594559,1.25
363391,3.09
716961,0.88
59495,3.59
11089,2.5
144388,2.49
150462,2.19
777848,1.98
280973,2.69
264545,3.59
704369,0.69
319434,2.99
331642,2.0
444858,1.19
589741,2.0
110345,1.19
179539,1.5
295339,0.99
581245,1.5
361887,2.99
584348,1.5
440113,1.99
368809,2.99
422840,2.49
643130,0.65
760890,0.67
140997,2.19
191588,1.59
62387,2.19
70247,2.49
394295,2.19
134871,1.89
373446,2.39
30131,1.79
355470,2.29
154384,1.19
155140,1.29
103621,3.65
737441,2.9699999999999998
30326,1.19
76891,2.29
331306,2.89
350874,2.79
52719,0.99
69830,2.49
391977,2.19
514273,0.99
166795,3.19
316193,2.89
206903,1.99
695501,1.34
83138,0.99
289356,1.99
791474,0.88
5274,2.29
405245,1.5
656013,0.69
166251,2.09
400307,1.95
628889,0.99
788682,1.09
174322,0.75
13559,0.59
432279,2.59
590021,2.79
289719,0.99
581707,2.59
718755,0.74
87484,0.99
297137,1.99
486957,2.0
119703,0.0
60296,3.59
329560,2.5
75196,2.49
283804,1.99
204702,1.99
518492,0.59
55323,3.49
501687,1.6
561271,1.0
65238,1.25
321708,2.69
599405,1.25
276374,1.99
239380,1.34
137130,1.89
273214,0.99
196559,1.99
757712,0.79
616073,0.95
461630,1.69
117398,1.09
262872,2.5
340494,2.0
288822,1.5
450856,0.8
6369,2.5
274547,1.98
685656,0.85
561281,1.25
245960,1.98
705349,0.67
289574,0.99
45292,1.25
295251,0.99
326421,2.69
104957,0.59
804062,0.39
212754,0.99
407330,2.15
407183,1.79
57749,3.49
744179,0.88
666265,1.29
386117,1.49
317136,2.89
451796,1.29
729115,1.19
459708,0.86
536729,1.79
463087,1.59
580200,1.5
679099,0.67
128679,1.99
264687,3.59
407195,1.79
622325,0.99
472367,1.59
475143,1.75
765459,1.58
153019,2.15
246805,1.99
9740,2.0
47888,1.19
427623,3.19
775318,0.89
339850,2.69
317825,2.75
664756,3.87
66476,2.19
569130,1.5
481879,0.89
308923,2.75
344773,2.69
369375,2.99
19993,1.25
585547,1.5
529009,1.19
732396,1.39
814194,1.29
241650,0.99
69761,2.49
70919,2.79
622980,0.79
812496,1.19
816211,1.65
356432,2.94
656930,0.67
452653,1.19
360006,2.39
717824,0.89
163252,3.19
759734,0.69
718550,0.99
760734,0.67
763501,0.79
287370,1.98
269929,2.19
446293,1.29
214553,3.0
24982,0.5
503175,0.99
493186,1.79
152113,1.99
317375,2.99
43792,1.25
14176,0.75
731720,1.19
142420,2.19
93059,1.98
793860,0.99
167925,3.19
404844,1.99
188229,1.59
480729,0.89
288165,0.99
543420,1.19
776756,0.69
396131,1.99
798401,1.99
395914,1.99
569172,1.5
225483,1.99
699824,1.98
685104,0.85
324679,2.89
390791,3.58
94906,1.29
571388,2.38
60739,0.5
509179,0.8
279687,2.69
659288,0.67
368976,2.99
434367,2.29
135313,1.89
167887,3.19
521422,1.19
460690,2.26
424575,2.29
